Post day,Video title,Total video time,Total views,Total likes,Total comments,Total shares,Total saves,Avg watch time,Full watch percentage,New followers
09/09/24,Wolverine futurístico,33,4577,120,27,10,9,16.8,13.6,16
10/09/24,Deadpool branco #IA #DeadpoolSamurai #Shanghai,29,2700,627,20,10,17,13.37,6.4,19
11/09/24,Castelo rosa? #IA #Castelo #CasteloVoador,39,5000,78,2,2,5,10.48,2,8
12/09/24,IA desenhou meu carro? #IA #Bugatti #DesenharamMeuCarro,14,6000,81,2,1,5,5.91,10.6,9
12/09/24,Batman medieval? #IA #DC #Batman,29,473826,20707,99,198,1373,17.63,21.4,1200
14/09/24,Neymar no mar #IA #Neymar #PS3,22,14000,197,4,4,12,12.22,15.4,7
15/09/24,Albert Einstein blindado #IA #Einstein #EinsteinFuturista,25,19000,344,5,1,8,10.89,4.8,22
16/09/24,Lancer no espaço sideral #IA #Lancer #Nave,35,180000,6000,35,91,400,17.69,7.4,445
17/09/24,Torre de Paris alienígena #IA #ParisFuturista #ColonizaçãoAlienigena,39,38000,925,9,21,26,15.27,2.9,40
18/09/24,Flash aranha #IA #Flash #HomemAranha,23,510002,31923,128,389,2782,16.08,26.3,2782
19/09/24,Casa branca no deserto #CasaBranca #MadMax #Deserto,22,1231269,57022,154,574,6756,15.17,23.6,2400
20/09/24,Messi em Marte #Messi #Marte #Futebol,25,298143,8211,44,41,552,15.06,20,404
